エラー,,21.181,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.277,9.9,0.891,,,28.743,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.168,3.2,0.033,32,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.201,2.2,0.132,22,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,18,18,75,,
,4,3.333,2.3,0.066,23,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,20,2,8.333333333,,
,5,3.399,4.4,0.198,44,15.37035804,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,23,3,12.5,,
,6,3.597,5.4,0.429,54,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,24,1,4.166666667,,
,7,4.026,4.4,0.066,44,6.72,,,,,,,,,,,,,6,20,24,24,0,0,,
,8,4.092,2.3,0.033,23,15.37035804,,,目視時間の分布（秒）,,6.039,,,,,,,,7,24,28,24,0,0,,
,9,4.125,9.9,1.65,99,,,,,1,2,3,4,5,6,7,8,,8,28,32,24,0,0,,
,10,5.775,2.3,0.231,23,,,,5,0,0,0,0.429,0,0,0,0,,9,32,36,24,0,0,,
,11,6.006,2.4,0.033,24,7.4575,,,4,0.066,0,0,0.264,0,0,0,0,,10,36,40,24,0,0,,
,12,6.039,2.5,0.099,25,7.4575,,,3,0.594,0.462,1.32,0.792,0.693,0,0,0,,11,40,44,24,0,0,,
,13,6.138,3.5,0.495,35,6.72,,,2,0.099,0.198,0.561,0.363,0.099,0.099,0,0,,12,44,48,24,0,0,,
,14,6.633,3.3,0.165,33,14.915,,,1,0,0,0,0,0,0,0,0,,13,48,52,24,0,0,,
,15,6.798,2.4,0.033,24,10.03856097,,,,,,,,,,,,,14,52,56,24,0,0,,
,16,6.831,9.9,1.089,99,,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,24,0,0,,
,17,7.92,2.3,0.099,23,,,,,1,2,3,4,5,6,7,8,,16,60,64,24,0,0,,
