,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.224,5.6,0.581,56,,28.565,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,2.805,4.5,0.165,45,10.03856097,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,2.97,3.4,0.891,34,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,11,11,29.72972973,,
,4,3.861,2.4,0.231,24,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,17,6,16.21621622,,
,5,4.092,3.5,1.155,35,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,24,7,18.91891892,,
,6,5.247,3.4,0.726,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,27,3,8.108108108,,
,7,5.973,4.6,0.165,46,16.35896161,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,30,3,8.108108108,,
,8,6.138,4.7,0.792,47,7.4575,,,,,,,,,,,,,7,24,28,31,1,2.702702703,,
,9,6.93,3.3,0.858,33,30.57756203,,,目視時間の分布（秒）,,27.971,,,,,,,,8,28,32,36,5,13.51351351,,
,10,7.788,2.2,0.297,22,10.03856097,,,,1,2,3,4,5,6,7,8,,9,32,36,36,0,0,,
,11,8.085,3.3,0.495,33,10.03856097,,,5,0,0,0,0,0,1.604,0,0,,10,36,40,36,0,0,,
,12,8.58,5.6,1.023,56,26.09908727,,,4,0,0,0,0.296,0.165,0.165,0.792,0,,11,40,44,36,0,0,,
,13,9.603,3.4,0.825,34,20.07712193,,,3,0,0,1.353,3.036,1.155,0,0,0,,12,44,48,37,1,2.702702703,,
,14,10.428,1.6,0.924,16,20.07712193,,,2,0,0.825,3.004,0.231,0.264,1.518,0.561,0,,13,48,52,37,0,0,,
,15,11.352,2.3,1.056,23,23.35994769,,,1,0,0.693,6.336,0,1.287,0.924,3.168,0.594,,14,52,56,37,0,0,,
,16,12.408,1.5,0.693,15,16.35896161,,,,,,,,,,,,,15,56,60,37,0,0,,
,17,13.101,1.3,0.462,13,14.915,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,37,0,0,,
,18,13.563,1.7,0.759,17,29.83,,,,1,2,3,4,5,6,7,8,,17,64,68,37,0,0,,
,19,14.322,1.5,0.297,15,14.915,,,5,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,,18,68,72,37,0,0,,
,20,14.619,1.3,2.343,13,14.915,,,4,0.0,0.0,0.0,1.1,0.6,0.6,2.8,0.0,,19,72,76,37,0,0,,
,21,16.962,3.4,0.462,34,15.37035804,,,3,0.0,0.0,4.8,10.9,4.1,0.0,0.0,0.0,,20,76,80,37,0,0,,
,22,17.424,1.3,0.759,13,15.37035804,,,2,0.0,2.9,10.7,0.8,0.9,5.4,2.0,0.0,,,,,,,100,,
,23,18.183,1.7,2.013,17,29.83,,,1,0.0,2.5,22.7,0.0,4.6,3.3,11.3,2.1,,,,,,,,,
,24,20.196,0,0.231,0,,,,,,,,,,,,,,,,,,,,,
,25,20.427,1.3,1.287,13,,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,21.714,1.7,0.396,17,29.83,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,22.11,1.8,0.594,18,7.4575,,,5,21,21,21,21,21,5,21,21,,,,,,,,,
,28,22.704,1.2,0.693,12,44.745,,,4,21,21,21,16,19,19,12,21,,,,,,,,,
,29,23.397,1.3,1.485,13,7.4575,,,3,21,21,7,3,9,21,21,21,,,,,,,,,
,30,24.882,2.3,0.33,23,6.72,,,2,21,11,4,18,17,6,15,21,,,,,,,,,
,31,25.212,3.4,0.132,34,10.03856097,,,1,21,13,1,21,8,10,2,14,,,,,,,,,
