,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.178,9.9,1.056,,,28.347,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.234,2.4,0.231,24,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.465,2.5,0.231,25,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,19,19,39.58333333,,
,4,3.696,1.3,0.561,13,16.35896161,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,25,6,12.5,,
,5,4.257,3.5,1.056,35,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,31,6,12.5,,
,6,5.313,2.3,0.693,23,16.35896161,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,38,7,14.58333333,,
,7,6.006,2.5,0.264,25,14.915,,,,,,,,,,,,,6,20,24,42,4,8.333333333,,
,8,6.27,3.5,0.462,35,6.72,,,目視時間の分布（秒）,,27.291,,,,,,,,7,24,28,42,0,0,,
,9,6.732,3.4,0.132,34,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,45,3,6.25,,
,10,6.864,3.5,0.264,35,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,47,2,4.166666667,,
,11,7.128,3.7,0.363,37,14.915,,,4,0,0,0,0,0,0,0,0.231,,10,36,40,48,1,2.083333333,,
,12,7.491,4.8,0.231,48,10.03856097,,,3,0,1.023,2.079,4.587,2.442,0.396,0.363,0,,11,40,44,48,0,0,,
,13,7.722,3.4,0.693,34,30.57756203,,,2,0,0.429,2.079,2.145,1.551,0.759,0.858,0,,12,44,48,48,0,0,,
,14,8.415,2.2,0.429,22,16.35896161,,,1,0,1.419,4.059,0.429,0,1.518,0.924,0,,13,48,52,48,0,0,,
,15,8.844,3.2,0.495,32,6.72,,,,,,,,,,,,,14,52,56,48,0,0,,
,16,9.339,1.6,0.726,16,32.71792322,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,48,0,0,,
,17,10.065,2.7,0.561,27,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,48,0,0,,
,18,10.626,2.3,0.264,23,29.83,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,48,0,0,,
,19,10.89,1.3,1.353,13,6.72,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,18,68,72,48,0,0,,
,20,12.243,1.6,0.792,16,22.3725,,,3,0.0,3.7,7.6,16.8,8.9,1.5,1.3,0.0,,19,72,76,48,0,0,,
,21,13.035,1.7,0.363,17,7.4575,,,2,0.0,1.6,7.6,7.9,5.7,2.8,3.1,0.0,,20,76,80,48,0,0,,
,22,13.398,1.3,0.693,13,29.83,,,1,0.0,5.2,14.9,1.6,0.0,5.6,3.4,0.0,,,,,,,100,,
,23,14.091,2.5,0.297,25,16.35896161,,,,,,,,,,,,,,,,,,,,
,24,14.388,3.4,2.97,34,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,17.358,3.5,0.66,35,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,18.018,2.3,0.33,23,16.35896161,,,5,19,19,19,19,19,19,19,19,,,,,,,,,
,27,18.348,1.3,0.858,13,6.72,,,4,19,19,19,19,19,19,19,18,,,,,,,,,
,28,19.206,1.4,0.429,14,7.4575,,,3,19,10,5,1,3,16,17,19,,,,,,,,,
,29,19.635,1.3,0.594,13,7.4575,,,2,19,15,6,4,7,13,12,19,,,,,,,,,
,30,20.229,3.2,0.528,32,15.37035804,,,1,19,9,2,14,19,8,11,19,,,,,,,,,
,31,20.757,1.2,0.132,12,13.44,,,,,,,,,,,,,,,,,,,,
,32,20.889,2.3,0.33,23,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,21.219,1.2,0.66,12,10.03856097,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,19,,,,,,,,,,,,
,34,21.879,2.4,0.693,24,16.35896161,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,19,,,,,,,,,,,,
