,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.188,2.4,0.165,24,,28.281,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.353,2.3,0.396,23,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.749,2.4,0.363,24,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,75,75,78.94736842,,
,4,2.112,1.4,0.231,14,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,87,12,12.63157895,,
,5,2.343,1.3,0.231,13,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,92,5,5.263157895,,
,6,2.574,1.4,0.363,14,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,93,1,1.052631579,,
,7,2.937,2.4,0.132,24,6.72,,,,,,,,,,,,,6,20,24,95,2,2.105263158,,
,8,3.069,2.5,0.099,25,7.4575,,,目視時間の分布（秒）,,27.456,,,,,,,,7,24,28,95,0,0,,
,9,3.168,3.5,0.165,35,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,95,0,0,,
,10,3.333,2.4,0.066,24,10.03856097,,,5,0,0,0,0,0,0,0,0,,9,32,36,95,0,0,,
,11,3.399,2.3,0.231,23,7.4575,,,4,0,0,0,0,0,0.132,0,0,,10,36,40,95,0,0,,
,12,3.63,1.4,0.33,14,10.03856097,,,3,0,0.264,0.429,2.508,2.079,1.221,0.198,0,,11,40,44,95,0,0,,
,13,3.96,1.5,0.231,15,7.4575,,,2,0,0.924,4.257,2.508,0.99,0.363,0,0,,12,44,48,95,0,0,,
,14,4.191,1.4,0.033,14,7.4575,,,1,0.891,1.452,3.828,3.366,1.353,0.297,0.396,0,,13,48,52,95,0,0,,
,15,4.224,1.2,0.099,12,14.915,,,,,,,,,,,,,14,52,56,95,0,0,,
,16,4.323,1.1,0.297,11,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,95,0,0,,
,17,4.62,1.2,0.165,12,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,95,0,0,,
,18,4.785,1.3,0.132,13,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,95,0,0,,
