,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.254,3.5,0.132,35,,28.215,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.386,3.4,0.297,34,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.683,2.3,0.198,23,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,58,58,78.37837838,,
,4,1.881,1.3,0.561,13,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,70,12,16.21621622,,
,5,2.442,2.3,0.429,23,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,73,3,4.054054054,,
,6,2.871,1.3,0.264,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,73,0,0,,
,7,3.135,1.2,0.066,12,7.4575,,,,,,,,,,,,,6,20,24,74,1,1.351351351,,
,8,3.201,1.1,0.198,11,7.4575,,,目視時間の分布（秒）,,27.027,,,,,,,,7,24,28,74,0,0,,
,9,3.399,1.2,0.132,12,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,74,0,0,,
,10,3.531,1.3,0.198,13,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,74,0,0,,
,11,3.729,2.3,0.132,23,6.72,,,4,0,0,0.297,0,0,0.132,0.33,0,,10,36,40,74,0,0,,
,12,3.861,3.4,1.683,34,10.03856097,,,3,0,0,1.617,4.851,0.429,0.132,0.231,0,,11,40,44,74,0,0,,
,13,5.544,2.4,0.066,24,6.72,,,2,0,1.254,2.112,0.528,0.198,0.957,0,0,,12,44,48,74,0,0,,
,14,5.61,2.3,0.165,23,7.4575,,,1,1.221,2.871,8.085,0.231,0.033,0.429,0.99,0.099,,13,48,52,74,0,0,,
,15,5.775,1.3,2.31,13,6.72,,,,,,,,,,,,,14,52,56,74,0,0,,
,16,8.085,1.4,0.132,14,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,74,0,0,,
,17,8.217,1.6,0.099,16,14.915,,,,1,2,3,4,5,6,7,8,,16,60,64,74,0,0,,
,18,8.316,1.7,0.627,17,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,74,0,0,,
,19,8.943,2.6,0.627,26,10.03856097,,,4,0.0,0.0,1.1,0.0,0.0,0.5,1.2,0.0,,18,68,72,74,0,0,,
,20,9.57,2.5,0.066,25,7.4575,,,3,0.0,0.0,6.0,17.9,1.6,0.5,0.9,0.0,,19,72,76,74,0,0,,
,21,9.636,2.4,0.132,24,7.4575,,,2,0.0,4.6,7.8,2.0,0.7,3.5,0.0,0.0,,20,76,80,74,0,0,,
,22,9.768,1.3,1.782,13,10.03856097,,,1,4.5,10.6,29.9,0.9,0.1,1.6,3.7,0.4,,,,,,,100,,
,23,11.55,2.3,0.099,23,6.72,,,,,,,,,,,,,,,,,,,,
,24,11.649,3.4,0.594,34,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,12.243,3.3,0.198,33,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,12.441,4.3,0.297,43,6.72,,,5,22,22,22,22,22,22,22,22,,,,,,,,,
