,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.102,9.9,0.066,,,28.347,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.168,4.6,0.759,46,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.927,2.4,0.957,24,20.07712193,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,13,13,27.65957447,,
,4,4.884,3.6,0.528,36,16.35896161,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,20,7,14.89361702,,
,5,5.412,3.7,0.33,37,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,30,10,21.27659574,,
,6,5.742,4.5,0.594,45,16.35896161,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,33,3,6.382978723,,
,7,6.336,2.3,1.089,23,20.07712193,,,,,,,,,,,,,6,20,24,40,7,14.89361702,,
,8,7.425,2.6,0.792,26,22.3725,,,目視時間の分布（秒）,,28.281,,,,,,,,7,24,28,40,0,0,,
,9,8.217,3.3,0.264,33,23.35994769,,,,1,2,3,4,5,6,7,8,,8,28,32,41,1,2.127659574,,
,10,8.481,5.3,0.759,53,13.44,,,5,0,0.363,0.759,0,0,0,0,0,,9,32,36,42,1,2.127659574,,
,11,9.24,4.3,0.495,43,6.72,,,4,0,0.825,0.792,0,0.825,0.759,0,0.594,,10,36,40,45,3,6.382978723,,
,12,9.735,2.3,0.726,23,13.44,,,3,0.891,1.122,1.287,5.148,0.528,1.287,0.891,0,,11,40,44,45,0,0,,
,13,10.461,3.2,0.825,32,10.03856097,,,2,0,0.561,3.663,0.957,0,0.792,0,0.858,,12,44,48,47,2,4.255319149,,
