,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.244,9.9,0.297,,,28.083,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.541,3.6,0.429,36,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.97,3.5,0.33,35,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,20,20,43.47826087,,
,4,3.3,3.4,0.066,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,29,9,19.56521739,,
,5,3.366,3.3,0.627,33,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,37,8,17.39130435,,
,6,3.993,3.1,0.132,31,14.915,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,40,3,6.52173913,,
,7,4.125,1.1,0.264,11,13.44,,,,,,,,,,,,,6,20,24,44,4,8.695652174,,
,8,4.389,4.7,0.66,47,49.07688483,,,目視時間の分布（秒）,,27.786,,,,,,,,7,24,28,45,1,2.173913043,,
,9,5.049,4.6,0.396,46,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,45,0,0,,
,10,5.445,3.7,0.825,37,10.03856097,,,5,0,0,0,0,0,0,0,0,,9,32,36,45,0,0,,
,11,6.27,3.5,0.33,35,14.915,,,4,0,0,1.32,0.132,0,1.287,1.122,0.099,,10,36,40,45,0,0,,
,12,6.6,3.4,0.693,34,7.4575,,,3,0.132,0.33,3.564,7.623,3.366,2.046,0.825,0,,11,40,44,45,0,0,,
,13,7.293,4.4,0.132,44,6.72,,,2,0,0.627,2.046,0,1.386,0.264,0,0,,12,44,48,45,0,0,,
,14,7.425,3.4,0.396,34,6.72,,,1,0.264,0,0.429,0,0,0.924,0,0,,13,48,52,46,1,2.173913043,,
,15,7.821,4.3,0.33,43,10.03856097,,,,,,,,,,,,,14,52,56,46,0,0,,
,16,8.151,3.2,0.33,32,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,46,0,0,,
,17,8.481,3.3,0.429,33,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,46,0,0,,
,18,8.91,2.3,0.693,23,6.72,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,46,0,0,,
,19,9.603,2.5,0.462,25,14.915,,,4,0.0,0.0,4.8,0.5,0.0,4.6,4.0,0.4,,18,68,72,46,0,0,,
,20,10.065,3.4,0.264,34,10.03856097,,,3,0.5,1.2,12.8,27.4,12.1,7.4,3.0,0.0,,19,72,76,46,0,0,,
,21,10.329,3.6,0.462,36,14.915,,,2,0.0,2.3,7.4,0.0,5.0,1.0,0.0,0.0,,20,76,80,46,0,0,,
,22,10.791,4.7,0.462,47,10.03856097,,,1,1.0,0.0,1.5,0.0,0.0,3.3,0.0,0.0,,,,,,,100,,
,23,11.253,4.8,0.099,48,7.4575,,,,,,,,,,,,,,,,,,,,
,24,11.352,2.5,0.627,25,26.09908727,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,11.979,1.6,0.363,16,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,12.342,3.5,0.627,35,15.37035804,,,5,20,20,20,20,20,20,20,20,,,,,,,,,
,27,12.969,3.4,0.594,34,7.4575,,,4,20,20,7,18,20,8,9,19,,,,,,,,,
,28,13.563,3.3,0.825,33,7.4575,,,3,17,14,2,1,3,4,11,20,,,,,,,,,
,29,14.388,3.4,4.455,34,7.4575,,,2,20,12,5,20,6,15,20,20,,,,,,,,,
,30,18.843,3.5,0.198,35,7.4575,,,1,16,20,13,20,20,10,20,20,,,,,,,,,
,31,19.041,3.3,0.33,33,14.915,,,,,,,,,,,,,,,,,,,,
,32,19.371,3.6,1.155,36,22.3725,,,,,,,,,,,,,,,,,,,,
,33,20.526,3.4,0.693,34,14.915,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,20,,,,,,,,,,,,
,34,21.219,3.3,0.99,33,7.4575,,,目視個所Ｔｏｐ　No.2,3.3,2,,4.1,20,,,,,,,,,,,,
,35,22.209,4.3,0.99,43,6.72,,,目視個所Ｔｏｐ　No.3,3.5,3,,3.1,17,,,,,,,,,,,,
,36,23.199,3.5,0.528,35,16.35896161,,,目視個所Ｔｏｐ　No.4,3.6,4,,2.1,20,,,,,,,,,,,,
,37,23.727,4.6,0.396,46,10.03856097,,,目視個所Ｔｏｐ　No.5,2.3,5,,1.1,16,,,,,,,,,,,,
,38,24.123,3.5,1.353,35,10.03856097,,,目視個所（累積ではない）,19,,,5.2,20,,,,,,,,,,,,
,39,25.476,2.5,0.297,25,6.72,,,非目視個所,21,,,4.2,20,,,,,,,,,,,,
,40,25.773,1.3,0.429,13,16.35896161,,,合計,40,,,3.2,14,,,,,,,,,,,,
,41,26.202,2.2,0.627,22,10.03856097,,,,,,,2.2,12,,,,,,,,,,,,
,42,26.829,2.3,1.353,23,7.4575,,,,,,,1.2,20,,,,,,,,,,,,
,43,28.182,1.6,0.561,16,23.35994769,,,,,,,5.3,20,,,,,,,,,,,,
,44,28.743,2.6,0.264,26,6.72,,,,,,,4.3,7,,,,,1,2,3,4,5,6,7,8
,45,29.007,3.3,0.363,33,23.35994769,,,,,,,3.3,2,,,,5,20,20,20,20,20,20,20,20
,46,29.37,3.4,0.462,34,7.4575,,,,,,,2.3,5,,,,4,20,20,7,18,20,8,9,19
,47,29.832,4.6,0.495,46,16.35896161,,,,,,,1.3,13,,,,3,17,14,2,1,3,4,11,20
,48,30.327,3.3,0.429,33,23.35994769,,,,,,,5.4,20,,,,2,20,12,5,20,6,15,20,20
,49,30.756,3.4,0.033,34,7.4575,,,,,,,4.4,18,,,,1,16,20,13,20,20,10,20,20
,50,30.789,3.4,,,,,,,,,,3.4,1,,,,,,,,,,,,
,観測時間［秒］,28.083,,,,,,,,,,,2.4,20,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.4,20,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.46,最大移動距離,49.08,,,,,,,5.5,20,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.64,平均移動距離,12.39,,,,,,,4.5,20,,,,,,,,,,,,
,,,,,距離標準偏差,7.62,,,,,,,3.5,3,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,6,,,,,,,,,,,,
,原本再生時間,28.245,秒,,9.9のカウント数,1,,,,,,,1.5,20,,,,,,,,,,,,
,観察時間,28.083,秒,,9.9の秒数,0.297,,,,,,,5.6,20,,,,,,,,,,,,
,観察割合,0.994,,,0のカウント数,0,,,,,,,4.6,8,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,3.6,4,,,,,,,,,,,,
,総ロスト時間［秒］,0.297,,原本再生に占める9.9の割合,,0.011,,,,,,,2.6,15,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.011,,観察時間に占める9.9の割合,,0.011,,,,,,,1.6,10,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.011,,原本再生に占める0の割合,,0.000,,,,,,,5.7,20,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,4.7,9,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,11,,,,,,,,,,,,
,,,,チェックデジット,27.786,,,,,,,,2.7,20,,,,,,,,,,,,
,,,,OK,27.786,,,,,,,,1.7,20,,,,,,,,,,,,
,,,,,27.786,,,,,,,,5.8,20,,,,,,,,,,,,
