,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.759,9.9,0.561,,,28.215,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.32,2.6,0.264,26,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.584,3.5,0.99,35,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,21,21,39.62264151,,
,4,2.574,2.4,0.066,24,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,33,12,22.64150943,,
,5,2.64,2.3,0.594,23,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,34,1,1.886792453,,
,6,3.234,3.4,0.33,34,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,39,5,9.433962264,,
,7,3.564,3.5,0.33,35,7.4575,,,,,,,,,,,,,6,20,24,45,6,11.32075472,,
,8,3.894,3.4,0.858,34,7.4575,,,目視時間の分布（秒）,,27.654,,,,,,,,7,24,28,47,2,3.773584906,,
,9,4.752,3.7,0.396,37,22.3725,,,,1,2,3,4,5,6,7,8,,8,28,32,48,1,1.886792453,,
,10,5.148,3.6,0.396,36,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,49,1,1.886792453,,
,11,5.544,4.8,0.594,48,16.35896161,,,4,0,0,0,0,0,0,0,0.594,,10,36,40,51,2,3.773584906,,
,12,6.138,3.5,0.165,35,23.35994769,,,3,0,0.297,0.858,5.676,2.376,1.287,1.254,0,,11,40,44,51,0,0,,
,13,6.303,2.3,1.98,23,16.35896161,,,2,0.957,0.792,3.795,1.122,0,0.264,0.726,0.693,,12,44,48,53,2,3.773584906,,
,14,8.283,1.3,0.198,13,6.72,,,1,0,3.003,3.168,0.231,0,0,0.561,0,,13,48,52,53,0,0,,
,15,8.481,2.2,0.132,22,10.03856097,,,,,,,,,,,,,14,52,56,53,0,0,,
,16,8.613,2.1,0.957,21,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,53,0,0,,
,17,9.57,1.7,0.297,17,45.24680569,,,,1,2,3,4,5,6,7,8,,16,60,64,53,0,0,,
,18,9.867,2.7,0.726,27,6.72,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,53,0,0,,
,19,10.593,2.3,0.528,23,29.83,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,,18,68,72,53,0,0,,
,20,11.121,3.4,0.66,34,10.03856097,,,3,0.0,1.1,3.1,20.5,8.6,4.7,4.5,0.0,,19,72,76,53,0,0,,
,21,11.781,1.3,0.66,13,15.37035804,,,2,3.5,2.9,13.7,4.1,0.0,1.0,2.6,2.5,,20,76,80,53,0,0,,
,22,12.441,1.4,0.231,14,7.4575,,,1,0.0,10.9,11.5,0.8,0.0,0.0,2.0,0.0,,,,,,,100,,
,23,12.672,1.3,1.221,13,7.4575,,,,,,,,,,,,,,,,,,,,
