,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.155,9.9,0.462,,,21.868,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.617,4.4,0.594,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.211,3.5,0.363,35,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,13,13,36.11111111,,
,4,2.574,4.5,0.33,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,22,9,25,,
,5,2.904,2.3,0.825,23,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,27,5,13.88888889,,
,6,3.729,1.3,0.396,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,28,1,2.777777778,,
,7,4.125,3.5,0.825,35,20.07712193,,,,,,,,,,,,,6,20,24,33,5,13.88888889,,
,8,4.95,2.4,0.957,24,10.03856097,,,目視時間の分布（秒）,,21.406,,,,,,,,7,24,28,34,1,2.777777778,,
,9,5.907,3.5,0.627,35,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,36,2,5.555555556,,
,10,6.534,4.5,0.594,45,6.72,,,5,0,0,0,0.396,2.607,3.63,0,0,,9,32,36,36,0,0,,
,11,7.128,5.6,0.528,56,10.03856097,,,4,0,0,0.121,2.31,4.884,0,0,0,,10,36,40,36,0,0,,
,12,7.656,5.5,0.561,55,7.4575,,,3,0,0.264,0.165,0.396,2.64,0,0.363,0,,11,40,44,36,0,0,,
,13,8.217,5.6,0.363,56,7.4575,,,2,0,0,1.155,0.957,0,0,0,0,,12,44,48,36,0,0,,
,14,8.58,4.5,1.782,45,10.03856097,,,1,0,0,0.396,0.891,0,0,0,0.231,,13,48,52,36,0,0,,
