,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.792,9.9,0.264,,,23.661,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.056,1.5,0.528,15,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.584,3.5,0.198,35,13.44,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,9,9,36,,
,4,1.782,4.5,0.594,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,15,6,24,,
,5,2.376,3.5,1.452,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,21,6,24,,
,6,3.828,1.5,0.297,15,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,21,0,0,,
,7,4.125,3.5,0.429,35,13.44,,,,,,,,,,,,,6,20,24,23,2,8,,
,8,4.554,2.4,1.287,24,10.03856097,,,目視時間の分布（秒）,,23.067,,,,,,,,7,24,28,23,0,0,,
,9,5.841,3.5,0.396,35,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,24,1,4,,
,10,6.237,4.5,0.066,45,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,25,1,4,,
,11,6.303,4.6,0.231,46,7.4575,,,4,0,0,0,0,5.709,3.069,0,0,,10,36,40,25,0,0,,
,12,6.534,3.5,2.046,35,10.03856097,,,3,0.363,0,0,0.693,5.907,0,0,0,,11,40,44,25,0,0,,
,13,8.58,4.5,0.825,45,6.72,,,2,0.099,0,0,1.287,0.33,0,0.297,0,,12,44,48,25,0,0,,
,14,9.405,2.1,0.099,21,32.71792322,,,1,0,0,0,4.29,1.023,0,0,0,,13,48,52,25,0,0,,
,15,9.504,3.1,0.363,31,6.72,,,,,,,,,,,,,14,52,56,25,0,0,,
