,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,5.033,9.9,0.957,99,,23.661,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,5.99,2.5,0.231,25,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,6.221,3.5,0.297,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,17,17,50,,
,4,6.518,2.5,1.056,25,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,20,3,8.823529412,,
,5,7.574,2.6,1.023,26,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,26,6,17.64705882,,
,6,8.597,3.5,0.396,35,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,27,1,2.941176471,,
,7,8.993,1.4,0.099,14,15.37035804,,,,,,,,,,,,,6,20,24,30,3,8.823529412,,
,8,9.092,1.3,0.297,13,7.4575,,,目視時間の分布（秒）,,22.704,,,,,,,,7,24,28,30,0,0,,
,9,9.389,1.4,0.825,14,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,32,2,5.882352941,,
,10,10.214,4.5,0.132,45,21.49511354,,,5,0,0,0,0,0,0.759,0,0,,9,32,36,33,1,2.941176471,,
,11,10.346,4.6,0.132,46,7.4575,,,4,0.66,0.495,0,0.891,3.068,2.706,0,0,,10,36,40,34,1,2.941176471,,
,12,10.478,5.6,0.759,56,6.72,,,3,0,0,0,0.198,3.631,0,0,1.419,,11,40,44,34,0,0,,
,13,11.237,4.6,0.726,46,6.72,,,2,0.627,0.627,1.452,0.132,1.287,1.023,0,0,,12,44,48,34,0,0,,
,14,11.963,3.5,0.991,35,10.03856097,,,1,0,0,1.32,1.782,0.33,0.297,0,0,,13,48,52,34,0,0,,
