,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,5.481,9.9,1.122,99,,23.628,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,6.603,1.4,0.693,14,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.296,2.5,0.462,25,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,10,10,45.45454545,,
,4,7.758,3.5,0.627,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,13,3,13.63636364,,
,5,8.385,4.5,0.198,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,19,6,27.27272727,,
,6,8.583,2.5,0.627,25,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,21,2,9.090909091,,
,7,9.21,2.4,1.419,24,7.4575,,,,,,,,,,,,,6,20,24,22,1,4.545454545,,
,8,10.629,4.5,0.495,45,15.37035804,,,目視時間の分布（秒）,,22.506,,,,,,,,7,24,28,22,0,0,,
,9,11.124,5.6,0.429,56,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,22,0,0,,
,10,11.553,5.5,0.627,55,7.4575,,,5,0,0,0,0,3.465,0.848,0,0,,9,32,36,22,0,0,,
,11,12.18,4.5,4.884,45,6.72,,,4,0,0,0,0.363,8.293,0,0,0,,10,36,40,22,0,0,,
,12,17.064,5.5,1.32,55,6.72,,,3,0,0.66,0,1.155,0.627,0,0,0,,11,40,44,22,0,0,,
,13,18.384,4.5,2.716,45,6.72,,,2,0,0,0,4.587,1.089,0,0,0,,12,44,48,22,0,0,,
,14,21.1,5.6,0.419,56,10.03856097,,,1,0,0,0,1.419,0,0,0,0,,13,48,52,22,0,0,,
