,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.221,2.4,0.759,24,,22.803,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.98,3.5,0.165,35,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.145,4.5,0.066,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,54,54,84.375,,
,4,2.211,4.6,0.297,46,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,62,8,12.5,,
,5,2.508,5.6,0.924,56,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,64,2,3.125,,
,6,3.432,4.6,0.231,46,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,64,0,0,,
,7,3.663,3.6,1.287,36,6.72,,,,,,,,,,,,,6,20,24,64,0,0,,
,8,4.95,3.5,0.264,35,7.4575,,,目視時間の分布（秒）,,22.803,,,,,,,,7,24,28,64,0,0,,
,9,5.214,2.4,0.858,24,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,64,0,0,,
,10,6.072,3.4,0.132,34,6.72,,,5,0,0.066,0.033,0.066,0.825,2.607,0,0,,9,32,36,64,0,0,,
,11,6.204,4.4,0.132,44,6.72,,,4,0,0,0.132,0.825,4.554,2.838,0,0,,10,36,40,64,0,0,,
,12,6.336,4.5,0.33,45,7.4575,,,3,0.363,0.297,0.594,0.957,1.188,2.013,0.066,0.099,,11,40,44,64,0,0,,
,13,6.666,4.6,0.528,46,7.4575,,,2,0,0,0.297,3.729,0.66,0.462,0.132,0,,12,44,48,64,0,0,,
,14,7.194,4.5,1.782,45,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,64,0,0,,
,15,8.976,3.5,0.132,35,6.72,,,,,,,,,,,,,14,52,56,64,0,0,,
,16,9.108,3.4,0.033,34,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,64,0,0,,
,17,9.141,3.3,0.132,33,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,64,0,0,,
,18,9.273,3.2,0.297,32,7.4575,,,5,0.0,0.3,0.1,0.3,3.6,11.4,0.0,0.0,,17,64,68,64,0,0,,
,19,9.57,3.1,0.363,31,7.4575,,,4,0.0,0.0,0.6,3.6,20.0,12.4,0.0,0.0,,18,68,72,64,0,0,,
,20,9.933,5.2,0.066,52,15.37035804,,,3,1.6,1.3,2.6,4.2,5.2,8.8,0.3,0.4,,19,72,76,64,0,0,,
,21,9.999,5.3,0.033,53,7.4575,,,2,0.0,0.0,1.3,16.4,2.9,2.0,0.6,0.0,,20,76,80,64,0,0,,
,22,10.032,5.4,0.066,54,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,10.098,5.5,0.099,55,7.4575,,,,,,,,,,,,,,,,,,,,
,24,10.197,5.6,0.165,56,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,10.362,3.6,0.132,36,13.44,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,10.494,2.7,0.132,27,10.03856097,,,5,23,19,22,19,9,4,23,23,,,,,,,,,
,27,10.626,3.8,0.099,38,10.03856097,,,4,23,23,17,8,1,3,23,23,,,,,,,,,
,28,10.725,3.7,0.066,37,7.4575,,,3,13,14,11,7,6,5,19,18,,,,,,,,,
,29,10.791,3.6,0.099,36,7.4575,,,2,23,23,14,2,10,12,16,23,,,,,,,,,
,30,10.89,2.5,0.429,25,10.03856097,,,1,23,23,23,23,23,23,23,23,,,,,,,,,
,31,11.319,2.6,0.099,26,7.4575,,,,,,,,,,,,,,,,,,,,
,32,11.418,3.6,0.099,36,6.72,,,,,,,,,,,,,,,,,,,,
,33,11.517,4.6,0.099,46,6.72,,,目視個所Ｔｏｐ　No.1,4.5,1,,5.1,23,,,,,,,,,,,,
,34,11.616,4.5,0.726,45,7.4575,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,23,,,,,,,,,,,,
,35,12.342,5.6,0.693,56,10.03856097,,,目視個所Ｔｏｐ　No.3,4.6,3,,3.1,13,,,,,,,,,,,,
,36,13.035,5.5,0.726,55,7.4575,,,目視個所Ｔｏｐ　No.4,5.6,4,,2.1,23,,,,,,,,,,,,
