,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.531,9.9,0.66,,,23.76,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.191,4.6,0.231,46,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.422,3.4,0.264,34,16.35896161,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,18,18,40.90909091,,
,4,4.686,4.7,0.198,47,23.35994769,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,26,8,18.18181818,,
,5,4.884,4.5,0.33,45,14.915,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,37,11,25,,
,6,5.214,4.6,0.561,46,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,40,3,6.818181818,,
,7,5.775,5.6,0.231,56,6.72,,,,,,,,,,,,,6,20,24,41,1,2.272727273,,
,8,6.006,4.6,1.419,46,6.72,,,目視時間の分布（秒）,,22.374,,,,,,,,7,24,28,43,2,4.545454545,,
,9,7.425,2.6,0.759,26,13.44,,,,1,2,3,4,5,6,7,8,,8,28,32,44,1,2.272727273,,
,10,8.184,1.4,0.396,14,16.35896161,,,5,0,0,0,0,0,1.122,0,0.594,,9,32,36,44,0,0,,
,11,8.58,2.6,0.396,26,16.35896161,,,4,0,0,0,1.485,2.31,2.871,0.528,0,,10,36,40,44,0,0,,
,12,8.976,4.5,0.462,45,15.37035804,,,3,0,0,0,1.221,4.785,1.122,0.264,0,,11,40,44,44,0,0,,
,13,9.438,2.6,0.363,26,15.37035804,,,2,0,0,0,2.178,0.858,1.98,0.231,0.066,,12,44,48,44,0,0,,
,14,9.801,3.5,0.33,35,10.03856097,,,1,0,0,0,0.759,0,0,0,0,,13,48,52,44,0,0,,
,15,10.131,3.6,0.858,36,7.4575,,,,,,,,,,,,,14,52,56,44,0,0,,
,16,10.989,3.5,0.726,35,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,44,0,0,,
,17,11.715,5.6,0.891,56,15.37035804,,,,1,2,3,4,5,6,7,8,,16,60,64,44,0,0,,
,18,12.606,4.6,0.66,46,6.72,,,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.7,,17,64,68,44,0,0,,
,19,13.266,3.5,0.759,35,10.03856097,,,4,0.0,0.0,0.0,6.6,10.3,12.8,2.4,0.0,,18,68,72,44,0,0,,
,20,14.025,4.5,0.528,45,6.72,,,3,0.0,0.0,0.0,5.5,21.4,5.0,1.2,0.0,,19,72,76,44,0,0,,
,21,14.553,3.4,0.264,34,10.03856097,,,2,0.0,0.0,0.0,9.7,3.8,8.8,1.0,0.3,,20,76,80,44,0,0,,
,22,14.817,2.4,1.419,24,6.72,,,1,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,16.236,3.5,0.165,35,10.03856097,,,,,,,,,,,,,,,,,,,,
,24,16.401,2.6,0.462,26,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,16.863,3.5,0.165,35,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,17.028,4.5,0.462,45,6.72,,,5,17,17,17,17,17,8,17,12,,,,,,,,,
,27,17.49,3.5,1.584,35,6.72,,,4,17,17,17,6,3,2,13,17,,,,,,,,,
,28,19.074,2.5,0.363,25,6.72,,,3,17,17,17,7,1,8,14,17,,,,,,,,,
,29,19.437,2.7,0.231,27,14.915,,,2,17,17,17,4,10,5,15,16,,,,,,,,,
,30,19.668,0,0.726,0,,,,1,17,17,17,11,17,17,17,17,,,,,,,,,
,31,20.394,2.5,0.495,25,,,,,,,,,,,,,,,,,,,,,
,32,20.889,4.5,0.528,45,13.44,,,,,,,,,,,,,,,,,,,,
,33,21.417,4.4,0.66,44,7.4575,,,目視個所Ｔｏｐ　No.1,3.5,1,,5.1,17,,,,,,,,,,,,
,34,22.077,2.4,0.231,24,13.44,,,目視個所Ｔｏｐ　No.2,4.6,2,,4.1,17,,,,,,,,,,,,
,35,22.308,4.7,0.33,47,26.09908727,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,17,,,,,,,,,,,,
,36,22.638,2.8,0.066,28,15.37035804,,,目視個所Ｔｏｐ　No.4,2.4,4,,2.1,17,,,,,,,,,,,,
,37,22.704,3.7,0.264,37,10.03856097,,,目視個所Ｔｏｐ　No.5,2.6,5,,1.1,17,,,,,,,,,,,,
,38,22.968,3.6,0.264,36,7.4575,,,目視個所（累積ではない）,16,,,5.2,17,,,,,,,,,,,,
,39,23.232,3.4,0.264,34,14.915,,,非目視個所,24,,,4.2,17,,,,,,,,,,,,
,40,23.496,4.4,0.462,44,6.72,,,合計,40,,,3.2,17,,,,,,,,,,,,
,41,23.958,3.4,0.429,34,6.72,,,,,,,2.2,17,,,,,,,,,,,,
,42,24.387,2.4,0.264,24,6.72,,,,,,,1.2,17,,,,,,,,,,,,
,43,24.651,1.4,0.363,14,6.72,,,,,,,5.3,17,,,,,,,,,,,,
,44,25.014,2.4,0.264,24,6.72,,,,,,,4.3,17,,,,,1,2,3,4,5,6,7,8
,45,25.278,4.4,0.363,44,13.44,,,,,,,3.3,17,,,,5,17,17,17,17,17,8,17,12
,46,25.641,3.5,1.056,35,10.03856097,,,,,,,2.3,17,,,,4,17,17,17,6,3,2,13,17
,47,26.697,5.8,0.594,58,26.09908727,,,,,,,1.3,17,,,,3,17,17,17,7,1,8,14,17
,48,27.291,2.5,0.792,25,30.1156829,,,,,,,5.4,17,,,,2,17,17,17,4,10,5,15,16
,49,28.083,9.9,1.287,99,,,,,,,,4.4,6,,,,1,17,17,17,11,17,17,17,17
,50,29.37,9.9,,,,,,,,,,3.4,7,,,,,,,,,,,,
,観測時間［s］,23.76,,,,,,,,,,,2.4,4,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.4,11,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.58,最大移動距離,30.12,,,,,,,5.5,17,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.33,平均移動距離,11.81,,,,,,,4.5,3,,,,,,,,,,,,
,,,,,距離標準偏差,5.81,,,,,,,3.5,1,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,10,,,,,,,,,,,,
,原本再生時間,23.53,秒,,9.9のカウント数,1,,,,,,,1.5,17,,,,,,,,,,,,
,観察時間,23.76,秒,,9.9の秒数,0.66,,,,,,,5.6,8,,,,,,,,,,,,
,観察割合,1.010,,,0のカウント数,1,,,,,,,4.6,2,,,,,,,,,,,,
,,,,,0の秒数,0.726,,,,,,,3.6,8,,,,,,,,,,,,
,総ロスト時間［秒］,1.386,,原本再生に占める9.9の割合,,0.028,,,,,,,2.6,5,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.058903527,,観察時間に占める9.9の割合,,0.028,,,,,,,1.6,17,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.058333333,,原本再生に占める0の割合,,0.030854229,,,,,,,5.7,17,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.030555556,,,,,,,4.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,14,,,,,,,,,,,,
,,,,チェックデジット,22.374,,,,,,,,2.7,15,,,,,,,,,,,,
,,,,OK,22.374,,,,,,,,1.7,17,,,,,,,,,,,,
,,,,,22.374,,,,,,,,5.8,12,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,17,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,17,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,16,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,17,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
