,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.663,3.5,0.462,35,,19.861,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.125,2.5,0.363,25,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.488,3.5,1.221,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,14,14,82.35294118,,
,4,5.709,4.5,1.518,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,17,3,17.64705882,,
,5,7.227,3.5,5.973,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,17,0,0,,
,6,13.2,4.5,0.759,45,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,17,0,0,,
,7,13.959,3.5,0.363,35,6.72,,,,,,,,,,,,,6,20,24,17,0,0,,
,8,14.322,4.5,0.396,45,6.72,,,目視時間の分布（秒）,,16.429,,,,,,,,7,24,28,17,0,0,,
,9,14.718,9.9,2.838,99,,,,,1,2,3,4,5,6,7,8,,8,28,32,17,0,0,,
,10,17.556,5.5,1.155,55,,,,5,0,0,0,0,1.155,0,0,0,,9,32,36,17,0,0,,
,11,18.711,4.4,0.561,44,10.03856097,,,4,0,0,0.214,0.561,2.673,0,0,0,,10,36,40,17,0,0,,
,12,19.272,3.4,0.297,34,6.72,,,3,0,0,0.398,1.627,8.349,0,0,0,,11,40,44,17,0,0,,
,13,19.569,9.9,0.594,99,,,,2,0,0,0,0.363,1.089,0,0,0,,12,44,48,17,0,0,,
,14,20.163,3.4,0.858,34,,,,1,0,0,0,0,0,0,0,0,,13,48,52,17,0,0,,
,15,21.021,3.5,0.33,35,7.4575,,,,,,,,,,,,,14,52,56,17,0,0,,
