,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.231,4.5,0.198,45,,23.793,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.429,3.4,0.297,34,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,0.726,3.5,0.165,35,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,54,54,85.71428571,,
,4,0.891,4.5,0.462,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,62,8,12.6984127,,
,5,1.353,5.5,0.495,55,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,63,1,1.587301587,,
,6,1.848,5.6,0.759,56,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,63,0,0,,
,7,2.607,4.5,0.132,45,10.03856097,,,,,,,,,,,,,6,20,24,63,0,0,,
,8,2.739,3.5,0.726,35,6.72,,,目視時間の分布（秒）,,23.793,,,,,,,,7,24,28,63,0,0,,
,9,3.465,4.5,0.132,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,63,0,0,,
,10,3.597,3.5,0.264,35,6.72,,,5,0,0,0,0,1.881,2.871,0,0,,9,32,36,63,0,0,,
,11,3.861,2.4,0.792,24,10.03856097,,,4,0,0,0,0.495,6.237,0.264,0,0,,10,36,40,63,0,0,,
,12,4.653,2.3,0.264,23,7.4575,,,3,0.462,0.264,0.132,1.98,3.003,0.099,0.396,0,,11,40,44,63,0,0,,
,13,4.917,2.4,0.066,24,7.4575,,,2,0.495,0.363,0.462,2.31,0.66,0,0,0,,12,44,48,63,0,0,,
