,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.759,3.4,0.132,34,,22.765,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.891,4.5,0.825,45,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.716,5.5,0.792,55,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,31,31,77.5,,
,4,2.508,5.6,1.155,56,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,39,8,20,,
,5,3.663,4.6,0.264,46,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,40,1,2.5,,
,6,3.927,4.5,0.066,45,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,40,0,0,,
,7,3.993,3.5,0.495,35,6.72,,,,,,,,,,,,,6,20,24,40,0,0,,
,8,4.488,2.4,0.99,24,10.03856097,,,目視時間の分布（秒）,,22.765,,,,,,,,7,24,28,40,0,0,,
,9,5.478,3.5,1.056,35,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,40,0,0,,
,10,6.534,4.5,0.627,45,6.72,,,5,0,0,0,0,1.452,1.419,0,0,,9,32,36,40,0,0,,
,11,7.161,5.5,0.231,55,6.72,,,4,0,0.132,0.231,0.127,9.57,0.264,0,0,,10,36,40,40,0,0,,
,12,7.392,5.6,0.264,56,7.4575,,,3,0,0,0.528,0.429,3.036,0,0,0,,11,40,44,40,0,0,,
,13,7.656,4.5,2.937,45,10.03856097,,,2,0,0.429,0.132,2.244,0.33,0.198,0.264,0,,12,44,48,40,0,0,,
,14,10.593,3.5,0.693,35,6.72,,,1,0,0,0.033,1.452,0.495,0,0,0,,13,48,52,40,0,0,,
