,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.432,9.9,0.429,,,23.694,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.861,3.3,0.33,33,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.191,3.5,0.495,35,14.915,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,6,6,30,,
,4,4.686,4.5,0.231,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,9,3,15,,
,5,4.917,3.5,1.98,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,13,4,20,,
,6,6.897,4.5,3.729,45,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,13,0,0,,
,7,10.626,3.2,0.99,32,23.35994769,,,,,,,,,,,,,6,20,24,19,6,30,,
,8,11.616,2.1,0.132,21,10.03856097,,,目視時間の分布（秒）,,22.935,,,,,,,,7,24,28,19,0,0,,
,9,11.748,1.6,0.66,16,37.88820471,,,,1,2,3,4,5,6,7,8,,8,28,32,19,0,0,,
,10,12.408,4.5,0.594,45,21.49511354,,,5,0,0,0,0,1.947,0,0,0,,9,32,36,19,0,0,,
,11,13.002,0,0.33,0,,,,4,0,0.66,0.231,1.551,10.23,0,0,0,,10,36,40,20,1,5,,
,12,13.332,4.5,5.676,45,,,,3,0,0.99,0.33,0,2.475,0,0,0,,11,40,44,20,0,0,,
,13,19.008,5.5,1.947,55,6.72,,,2,0.132,0,0.759,0.264,0,0,0,0,,12,44,48,20,0,0,,
,14,20.955,4.4,0.297,44,10.03856097,,,1,0,0,0.297,2.409,0,0.66,0,0,,13,48,52,20,0,0,,
,15,21.252,2.4,0.264,24,13.44,,,,,,,,,,,,,14,52,56,20,0,0,,
