,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.792,1.3,0.924,13,,23.232,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.716,4.4,0.099,44,21.49511354,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.815,4.5,0.693,45,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,51,51,82.25806452,,
,4,2.508,5.6,0.957,56,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,54,3,4.838709677,,
,5,3.465,5.5,0.957,55,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,60,6,9.677419355,,
,6,4.422,4.5,0.462,45,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,60,0,0,,
,7,4.884,3.5,0.132,35,6.72,,,,,,,,,,,,,6,20,24,61,1,1.612903226,,
,8,5.016,3.4,0.066,34,7.4575,,,目視時間の分布（秒）,,23.232,,,,,,,,7,24,28,61,0,0,,
,9,5.082,2.4,0.66,24,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,62,1,1.612903226,,
,10,5.742,3.4,0.099,34,6.72,,,5,0,0,0,0,2.277,3.564,0,0,,9,32,36,62,0,0,,
,11,5.841,3.5,0.033,35,7.4575,,,4,0,0,0.231,0.726,4.851,1.65,0,0,,10,36,40,62,0,0,,
,12,5.874,4.5,0.429,45,6.72,,,3,0,0,0,0.858,1.617,0.759,0.099,0.264,,11,40,44,62,0,0,,
,13,6.303,5.5,0.396,55,6.72,,,2,0,0.297,0.297,2.046,0.363,0.099,0,0,,12,44,48,62,0,0,,
,14,6.699,5.6,1.518,56,7.4575,,,1,0,0,0.924,1.782,0.528,0,0,0,,13,48,52,62,0,0,,
,15,8.217,4.6,0.231,46,6.72,,,,,,,,,,,,,14,52,56,62,0,0,,
,16,8.448,4.5,1.023,45,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,62,0,0,,
,17,9.471,2.4,0.132,24,15.37035804,,,,1,2,3,4,5,6,7,8,,16,60,64,62,0,0,,
,18,9.603,1.4,0.297,14,6.72,,,5,0.0,0.0,0.0,0.0,9.8,15.3,0.0,0.0,,17,64,68,62,0,0,,
,19,9.9,2.4,0.231,24,6.72,,,4,0.0,0.0,1.0,3.1,20.9,7.1,0.0,0.0,,18,68,72,62,0,0,,
,20,10.131,4.5,0.33,45,15.37035804,,,3,0.0,0.0,0.0,3.7,7.0,3.3,0.4,1.1,,19,72,76,62,0,0,,
,21,10.461,4.6,0.132,46,7.4575,,,2,0.0,1.3,1.3,8.8,1.6,0.4,0.0,0.0,,20,76,80,62,0,0,,
,22,10.593,4.5,0.825,45,7.4575,,,1,0.0,0.0,4.0,7.7,2.3,0.0,0.0,0.0,,,,,,,100,,
,23,11.418,3.5,0.033,35,6.72,,,,,,,,,,,,,,,,,,,,
,24,11.451,2.5,0.198,25,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,11.649,2.4,0.165,24,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,11.814,1.4,0.132,14,6.72,,,5,20,20,20,20,3,2,20,20,,,,,,,,,
,27,11.946,1.5,0.528,15,7.4575,,,4,20,20,17,11,1,6,20,20,,,,,,,,,
,28,12.474,2.5,0.165,25,6.72,,,3,20,20,20,9,7,10,18,16,,,,,,,,,
,29,12.639,3.5,0.132,35,6.72,,,2,20,14,14,4,13,18,20,20,,,,,,,,,
,30,12.771,4.5,0.198,45,6.72,,,1,20,20,8,5,12,20,20,20,,,,,,,,,
,31,12.969,5.5,0.165,55,6.72,,,,,,,,,,,,,,,,,,,,
,32,13.134,4.5,0.363,45,6.72,,,,,,,,,,,,,,,,,,,,
,33,13.497,5.5,0.759,55,6.72,,,目視個所Ｔｏｐ　No.1,4.5,1,,5.1,20,,,,,,,,,,,,
,34,14.256,5.6,1.089,56,7.4575,,,目視個所Ｔｏｐ　No.2,5.6,2,,4.1,20,,,,,,,,,,,,
,35,15.345,4.6,0.66,46,6.72,,,目視個所Ｔｏｐ　No.3,5.5,3,,3.1,20,,,,,,,,,,,,
,36,16.005,3.6,0.099,36,6.72,,,目視個所Ｔｏｐ　No.4,2.4,4,,2.1,20,,,,,,,,,,,,
,37,16.104,2.6,0.099,26,6.72,,,目視個所Ｔｏｐ　No.5,1.4,5,,1.1,20,,,,,,,,,,,,
,38,16.203,3.6,0.561,36,6.72,,,目視個所（累積ではない）,19,,,5.2,20,,,,,,,,,,,,
,39,16.764,4.6,0.627,46,6.72,,,非目視個所,21,,,4.2,20,,,,,,,,,,,,
,40,17.391,4.5,0.363,45,7.4575,,,合計,40,,,3.2,20,,,,,,,,,,,,
,41,17.754,3.5,1.089,35,6.72,,,,,,,2.2,14,,,,,,,,,,,,
,42,18.843,3.6,0.099,36,7.4575,,,,,,,1.2,20,,,,,,,,,,,,
,43,18.942,3.7,0.099,37,7.4575,,,,,,,5.3,20,,,,,,,,,,,,
,44,19.041,3.8,0.264,38,7.4575,,,,,,,4.3,17,,,,,1,2,3,4,5,6,7,8
,45,19.305,3.4,0.297,34,29.83,,,,,,,3.3,20,,,,5,20,20,20,20,3,2,20,20
,46,19.602,4.4,0.462,44,6.72,,,,,,,2.3,14,,,,4,20,20,17,11,1,6,20,20
,47,20.064,3.4,0.066,34,6.72,,,,,,,1.3,8,,,,3,20,20,20,9,7,10,18,16
,48,20.13,2.4,0.099,24,6.72,,,,,,,5.4,20,,,,2,20,14,14,4,13,18,20,20
,49,20.229,1.4,1.155,14,6.72,,,,,,,4.4,11,,,,1,20,20,8,5,12,20,20,20
,50,21.384,3.4,0.099,34,13.44,,,,,,,3.4,9,,,,,,,,,,,,
,51,21.483,4.4,0.165,44,6.72,,,,,,,2.4,4,,,,,,,,,,,,
,52,21.648,2.4,0.264,24,13.44,,,,,,,1.4,5,,,,,,,,,,,,
