,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.112,9.9,0.264,,,23.595,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.376,2.4,0.495,24,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.871,2.5,0.099,25,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,17,17,53.125,,
,4,2.97,3.5,0.33,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,21,4,12.5,,
,5,3.3,4.5,0.561,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,26,5,15.625,,
,6,3.861,3.4,1.353,34,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,29,3,9.375,,
,7,5.214,4.5,1.716,45,10.03856097,,,,,,,,,,,,,6,20,24,32,3,9.375,,
,8,6.93,5.5,1.617,55,6.72,,,目視時間の分布（秒）,,22.671,,,,,,,,7,24,28,32,0,0,,
,9,8.547,4.5,1.419,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,32,0,0,,
,10,9.966,2.5,0.693,25,13.44,,,5,0,0,0,0.165,2.013,1.122,0,0,,9,32,36,32,0,0,,
,11,10.659,3.5,0.462,35,6.72,,,4,0,0.561,0,1.287,8.613,0,0,0,,10,36,40,32,0,0,,
,12,11.121,4.5,2.013,45,6.72,,,3,0,0,0,1.881,2.343,0.462,0,0,,11,40,44,32,0,0,,
,13,13.134,3.5,1.122,35,6.72,,,2,0,0.396,0,1.221,0.792,0,0,0,,12,44,48,32,0,0,,
,14,14.256,4.5,2.244,45,6.72,,,1,0,0,0,1.32,0.495,0,0,0,,13,48,52,32,0,0,,
,15,16.5,1.5,0.495,15,20.16,,,,,,,,,,,,,14,52,56,32,0,0,,
