Record Length,2500,Points,-4.69999981,4.71999979,,Record Length,2500,Points,-4.69999981,1.9200000,
Sample Interval,9.999999776E-3,s,-4.68999958,4.48000002,,Sample Interval,9.999999776E-3,s,-4.68999958,1.8399999,
Trigger Point,469.999991432,Samples,-4.67999983,4.71999979,,Trigger Point,469.999991432,Samples,-4.67999983,1.5999999,
,,,-4.66999960,4.71999979,,,,,-4.66999960,1.5999999,
,,,-4.65999985,4.79999971,,,,,-4.65999985,1.8399999,
,,,-4.64999962,4.71999979,,,,,-4.64999962,1.7600000,
Source,CH1,,-4.63999987,4.71999979,,Source,CH2,,-4.63999987,1.8399999,
Vertical Units,Volts,,-4.62999964,4.71999979,,Vertical Units,Volts,,-4.62999964,1.8399999,
Vertical Scale,2.0000000,,-4.61999989,4.71999979,,Vertical Scale,2.0000000,,-4.61999989,1.6799999,
Vertical Offset,0,,-4.60999966,4.71999979,,Vertical Offset,0,,-4.60999966,1.6799999,
Horizontal Units,s,,-4.59999990,4.71999979,,Horizontal Units,s,,-4.59999990,1.5200000,
Horizontal Scale,2.4999999,,-4.58999968,4.71999979,,Horizontal Scale,2.4999999,,-4.58999968,1.8399999,
Pt Fmt,Y,,-4.57999992,4.79999971,,Pt Fmt,Y,,-4.57999992,1.8399999,
Yzero,-40.00000000E-3,,-4.56999969,4.71999979,,Yzero,-2.0000000,,-4.56999969,1.7600000,
Probe Atten,10.0000000,,-4.55999994,4.71999979,,Probe Atten,10.0000000,,-4.55999994,1.8399999,
,,,-4.54999971,4.79999971,,,,,-4.54999971,1.7600000,
Note,TBS 1154 - 2:32:26   2019/06/10,,-4.53999996,4.71999979,,Note,TBS 1154 - 2:32:26   2019/06/10,,-4.53999996,1.6799999,
,,,-4.52999973,4.79999971,,,,,-4.52999973,1.8399999,
,,,-4.51999998,4.71999979,,,,,-4.51999998,1.9200000,
,,,-4.50999975,4.71999979,,,,,-4.50999975,2.0000000,
,,,-4.50000000,4.71999979,,,,,-4.50000000,2.0799999,
,,,-4.48999977,4.71999979,,,,,-4.48999977,2.0799999,
,,,-4.48000002,4.71999979,,,,,-4.48000002,2.0799999,
,,,-4.46999979,4.71999979,,,,,-4.46999979,2.0799999,
,,,-4.46000004,4.71999979,,,,,-4.46000004,2.3199999,
,,,-4.44999981,4.71999979,,,,,-4.44999981,2.5599999,
,,,-4.43999958,4.71999979,,,,,-4.43999958,2.4800000,
,,,-4.42999983,4.71999979,,,,,-4.42999983,2.3199999,
,,,-4.41999960,4.71999979,,,,,-4.41999960,2.3999999,
,,,-4.40999985,4.79999971,,,,,-4.40999985,2.4800000,
,,,-4.39999962,4.71999979,,,,,-4.39999962,2.3999999,
,,,-4.38999987,4.71999979,,,,,-4.38999987,2.4800000,
,,,-4.37999964,4.79999971,,,,,-4.37999964,2.3999999,
,,,-4.36999989,4.71999979,,,,,-4.36999989,2.0799999,
,,,-4.35999966,4.71999979,,,,,-4.35999966,2.0000000,
,,,-4.34999990,4.71999979,,,,,-4.34999990,2.0000000,
,,,-4.33999968,4.71999979,,,,,-4.33999968,2.0000000,
,,,-4.32999992,4.71999979,,,,,-4.32999992,1.9200000,
,,,-4.31999969,4.71999979,,,,,-4.31999969,2.0000000,
,,,-4.30999994,4.71999979,,,,,-4.30999994,2.0000000,
,,,-4.29999971,4.71999979,,,,,-4.29999971,1.8399999,
,,,-4.28999996,4.71999979,,,,,-4.28999996,1.9200000,
,,,-4.27999973,4.71999979,,,,,-4.27999973,2.0000000,
,,,-4.26999998,4.71999979,,,,,-4.26999998,2.0799999,
,,,-4.25999975,4.55999994,,,,,-4.25999975,2.2400000,
,,,-4.25000000,4.40000010,,,,,-4.25000000,2.4800000,
,,,-4.23999977,4.15999985,,,,,-4.23999977,2.72000003,
,,,-4.23000002,4.00000000,,,,,-4.23000002,2.87999988,
,,,-4.21999979,4.00000000,,,,,-4.21999979,2.79999995,
,,,-4.21000004,4.00000000,,,,,-4.21000004,2.4800000,
,,,-4.19999981,4.15999985,,,,,-4.19999981,2.3199999,
,,,-4.19000006,4.00000000,,,,,-4.19000006,2.2400000,
,,,-4.17999983,3.67999983,,,,,-4.17999983,2.2400000,
,,,-4.16999960,3.43999982,,,,,-4.16999960,2.2400000,
,,,-4.15999985,3.19999981,,,,,-4.15999985,2.3199999,
,,,-4.14999962,3.03999996,,,,,-4.14999962,2.3999999,
,,,-4.13999987,2.96000004,,,,,-4.13999987,2.5599999,
,,,-4.12999964,2.79999995,,,,,-4.12999964,2.72000003,
,,,-4.11999989,2.72000003,,,,,-4.11999989,2.72000003,
,,,-4.10999966,2.5599999,,,,,-4.10999966,2.79999995,
,,,-4.09999990,2.5599999,,,,,-4.09999990,2.72000003,
,,,-4.08999968,2.4800000,,,,,-4.08999968,2.72000003,
,,,-4.07999992,2.3199999,,,,,-4.07999992,2.6399999,
,,,-4.06999969,2.0799999,,,,,-4.06999969,2.4800000,
,,,-4.05999994,1.9200000,,,,,-4.05999994,2.4800000,
,,,-4.04999971,1.8399999,,,,,-4.04999971,2.6399999,
,,,-4.03999996,1.7600000,,,,,-4.03999996,2.79999995,
,,,-4.02999973,1.6799999,,,,,-4.02999973,2.96000004,
,,,-4.01999998,1.5999999,,,,,-4.01999998,3.03999996,
,,,-4.00999975,1.5200000,,,,,-4.00999975,3.03999996,
,,,-3.99999976,1.4399999,,,,,-3.99999976,3.03999996,
,,,-3.98999977,1.5200000,,,,,-3.98999977,2.96000004,
,,,-3.97999978,1.5200000,,,,,-3.97999978,2.87999988,
,,,-3.96999979,1.5999999,,,,,-3.96999979,2.72000003,
,,,-3.95999980,1.5999999,,,,,-3.95999980,2.5599999,
,,,-3.94999981,1.5999999,,,,,-3.94999981,2.5599999,
,,,-3.93999982,1.5999999,,,,,-3.93999982,2.5599999,
,,,-3.92999983,1.6799999,,,,,-3.92999983,2.5599999,
,,,-3.91999984,1.6799999,,,,,-3.91999984,2.5599999,
,,,-3.90999985,1.6799999,,,,,-3.90999985,2.72000003,
,,,-3.89999986,1.6799999,,,,,-3.89999986,2.72000003,
,,,-3.88999987,1.6799999,,,,,-3.88999987,2.72000003,
,,,-3.87999988,1.6799999,,,,,-3.87999988,2.6399999,
,,,-3.86999989,1.6799999,,,,,-3.86999989,2.6399999,
,,,-3.85999990,1.5200000,,,,,-3.85999990,2.5599999,
,,,-3.84999990,1.5200000,,,,,-3.84999990,2.5599999,
,,,-3.83999991,1.5200000,,,,,-3.83999991,2.3999999,
,,,-3.82999992,1.5999999,,,,,-3.82999992,2.3999999,
,,,-3.81999993,1.6799999,,,,,-3.81999993,2.3199999,
,,,-3.80999994,1.7600000,,,,,-3.80999994,2.3199999,
,,,-3.79999971,1.7600000,,,,,-3.79999971,2.3199999,
,,,-3.78999972,1.6799999,,,,,-3.78999972,2.2400000,
,,,-3.77999973,1.6799999,,,,,-3.77999973,2.3199999,
,,,-3.76999974,1.5999999,,,,,-3.76999974,2.3199999,
,,,-3.75999975,1.5999999,,,,,-3.75999975,2.3999999,
,,,-3.74999976,1.5999999,,,,,-3.74999976,2.3999999,
,,,-3.73999977,1.6799999,,,,,-3.73999977,2.3199999,
,,,-3.72999978,1.7600000,,,,,-3.72999978,2.2400000,
,,,-3.71999979,1.7600000,,,,,-3.71999979,2.2400000,
,,,-3.70999980,1.7600000,,,,,-3.70999980,2.2400000,
,,,-3.69999981,1.7600000,,,,,-3.69999981,2.2400000,
,,,-3.68999982,1.7600000,,,,,-3.68999982,2.2400000,
,,,-3.67999983,1.7600000,,,,,-3.67999983,2.3199999,
,,,-3.66999984,1.7600000,,,,,-3.66999984,2.3199999,
,,,-3.65999985,1.6799999,,,,,-3.65999985,2.3999999,
,,,-3.64999986,1.6799999,,,,,-3.64999986,2.4800000,
,,,-3.63999987,1.6799999,,,,,-3.63999987,2.3999999,
,,,-3.62999988,1.6799999,,,,,-3.62999988,2.3999999,
,,,-3.61999989,1.7600000,,,,,-3.61999989,2.3999999,
,,,-3.60999990,1.7600000,,,,,-3.60999990,2.3199999,
,,,-3.59999990,1.7600000,,,,,-3.59999990,2.3999999,
,,,-3.58999991,1.7600000,,,,,-3.58999991,2.3999999,
,,,-3.57999992,1.8399999,,,,,-3.57999992,2.3199999,
,,,-3.56999993,1.8399999,,,,,-3.56999993,2.3199999,
,,,-3.55999994,1.8399999,,,,,-3.55999994,2.3199999,
,,,-3.54999995,1.9200000,,,,,-3.54999995,2.3199999,
,,,-3.53999972,1.9200000,,,,,-3.53999972,2.3199999,
,,,-3.52999973,2.0000000,,,,,-3.52999973,2.2400000,
,,,-3.51999974,2.0000000,,,,,-3.51999974,2.3199999,
,,,-3.50999975,2.0000000,,,,,-3.50999975,2.3199999,
,,,-3.49999976,2.0799999,,,,,-3.49999976,2.3999999,
,,,-3.48999977,2.0799999,,,,,-3.48999977,2.3999999,
,,,-3.47999978,2.0799999,,,,,-3.47999978,2.3999999,
,,,-3.46999979,2.0799999,,,,,-3.46999979,2.3999999,
,,,-3.45999980,2.0000000,,,,,-3.45999980,2.3999999,
,,,-3.44999981,2.0000000,,,,,-3.44999981,2.4800000,
,,,-3.43999982,2.0799999,,,,,-3.43999982,2.3999999,
,,,-3.42999983,2.0799999,,,,,-3.42999983,2.3999999,
,,,-3.41999984,2.0799999,,,,,-3.41999984,2.4800000,
,,,-3.40999985,2.0799999,,,,,-3.40999985,2.4800000,
,,,-3.39999986,2.0799999,,,,,-3.39999986,2.4800000,
,,,-3.38999987,2.0799999,,,,,-3.38999987,2.4800000,
,,,-3.37999988,2.0000000,,,,,-3.37999988,2.3999999,
,,,-3.36999989,2.0000000,,,,,-3.36999989,2.4800000,
,,,-3.35999990,2.0000000,,,,,-3.35999990,2.4800000,
,,,-3.34999990,2.0000000,,,,,-3.34999990,2.4800000,
,,,-3.33999991,2.0000000,,,,,-3.33999991,2.3999999,
,,,-3.32999992,2.0000000,,,,,-3.32999992,2.3999999,
,,,-3.31999993,1.9200000,,,,,-3.31999993,2.3199999,
,,,-3.30999994,1.7600000,,,,,-3.30999994,2.3199999,
,,,-3.29999995,1.6799999,,,,,-3.29999995,2.3999999,
,,,-3.28999972,1.6799999,,,,,-3.28999972,2.4800000,
,,,-3.27999973,1.8399999,,,,,-3.27999973,2.5599999,
,,,-3.26999974,2.0000000,,,,,-3.26999974,2.5599999,
,,,-3.25999975,2.0799999,,,,,-3.25999975,2.4800000,
,,,-3.24999976,2.1599998,,,,,-3.24999976,2.3999999,
,,,-3.23999977,2.2400000,,,,,-3.23999977,2.3199999,
,,,-3.22999978,2.2400000,,,,,-3.22999978,2.2400000,
,,,-3.21999979,2.3199999,,,,,-3.21999979,2.1599998,
,,,-3.20999980,2.2400000,,,,,-3.20999980,2.2400000,
,,,-3.19999981,2.1599998,,,,,-3.19999981,2.3199999,
,,,-3.18999982,2.0799999,,,,,-3.18999982,2.3999999,
,,,-3.17999983,2.0000000,,,,,-3.17999983,2.4800000,
,,,-3.16999984,2.0000000,,,,,-3.16999984,2.4800000,
,,,-3.15999985,1.9200000,,,,,-3.15999985,2.4800000,
,,,-3.14999986,1.9200000,,,,,-3.14999986,2.5599999,
,,,-3.13999987,1.8399999,,,,,-3.13999987,2.4800000,
,,,-3.12999988,1.8399999,,,,,-3.12999988,2.4800000,
,,,-3.11999989,1.8399999,,,,,-3.11999989,2.4800000,
,,,-3.10999990,1.8399999,,,,,-3.10999990,2.4800000,
,,,-3.09999990,1.8399999,,,,,-3.09999990,2.5599999,
,,,-3.08999991,1.8399999,,,,,-3.08999991,2.5599999,
,,,-3.07999992,1.8399999,,,,,-3.07999992,2.5599999,
,,,-3.06999993,1.9200000,,,,,-3.06999993,2.6399999,
,,,-3.05999994,1.9200000,,,,,-3.05999994,2.5599999,
,,,-3.04999995,1.9200000,,,,,-3.04999995,2.6399999,
,,,-3.03999996,1.7600000,,,,,-3.03999996,2.72000003,
,,,-3.02999973,1.6799999,,,,,-3.02999973,2.79999995,
,,,-3.01999974,1.5999999,,,,,-3.01999974,2.87999988,
,,,-3.00999975,1.6799999,,,,,-3.00999975,2.96000004,
,,,-2.99999976,1.7600000,,,,,-2.99999976,3.11999989,
,,,-2.98999977,1.9200000,,,,,-2.98999977,3.03999996,
,,,-2.97999978,2.0000000,,,,,-2.97999978,2.96000004,
,,,-2.96999979,2.1599998,,,,,-2.96999979,2.72000003,
,,,-2.95999980,2.2400000,,,,,-2.95999980,2.4800000,
,,,-2.94999981,2.2400000,,,,,-2.94999981,2.2400000,
,,,-2.93999982,2.2400000,,,,,-2.93999982,2.0799999,
,,,-2.92999983,2.2400000,,,,,-2.92999983,2.0799999,
,,,-2.91999984,2.0799999,,,,,-2.91999984,2.1599998,
,,,-2.90999985,2.0799999,,,,,-2.90999985,2.2400000,
,,,-2.89999986,2.0000000,,,,,-2.89999986,2.3199999,
,,,-2.88999987,2.0000000,,,,,-2.88999987,2.3999999,
,,,-2.87999988,2.0000000,,,,,-2.87999988,2.5599999,
,,,-2.86999989,2.0000000,,,,,-2.86999989,2.5599999,
,,,-2.85999990,2.0000000,,,,,-2.85999990,2.5599999,
,,,-2.84999990,2.0000000,,,,,-2.84999990,2.6399999,
,,,-2.83999991,2.0000000,,,,,-2.83999991,2.6399999,
,,,-2.82999992,2.0000000,,,,,-2.82999992,2.72000003,
,,,-2.81999993,2.0000000,,,,,-2.81999993,2.72000003,
,,,-2.80999994,1.9200000,,,,,-2.80999994,2.72000003,
,,,-2.79999995,1.9200000,,,,,-2.79999995,2.72000003,
,,,-2.78999996,1.8399999,,,,,-2.78999996,2.72000003,
,,,-2.77999973,1.7600000,,,,,-2.77999973,2.72000003,
,,,-2.76999974,1.7600000,,,,,-2.76999974,2.72000003,
,,,-2.75999975,1.7600000,,,,,-2.75999975,2.72000003,
,,,-2.74999976,1.6799999,,,,,-2.74999976,2.72000003,
,,,-2.73999977,1.6799999,,,,,-2.73999977,2.72000003,
,,,-2.72999978,1.7600000,,,,,-2.72999978,2.6399999,
,,,-2.71999979,1.7600000,,,,,-2.71999979,2.5599999,
,,,-2.7099998,1.7600000,,,,,-2.7099998,2.4800000,
,,,-2.6999998,1.7600000,,,,,-2.6999998,2.3999999,
,,,-2.6899998,1.7600000,,,,,-2.6899998,2.3999999,
,,,-2.6799998,1.7600000,,,,,-2.6799998,2.3999999,
,,,-2.6699998,1.7600000,,,,,-2.6699998,2.3999999,
,,,-2.6599998,1.7600000,,,,,-2.6599998,2.3999999,
,,,-2.6499999,1.8399999,,,,,-2.6499999,2.4800000,
,,,-2.6399999,1.8399999,,,,,-2.6399999,2.4800000,
,,,-2.6299999,1.9200000,,,,,-2.6299999,2.4800000,
,,,-2.6199999,1.9200000,,,,,-2.6199999,2.5599999,
,,,-2.6099999,2.0000000,,,,,-2.6099999,2.6399999,
,,,-2.5999999,2.0000000,,,,,-2.5999999,2.72000003,
,,,-2.5899999,2.0000000,,,,,-2.5899999,2.79999995,
,,,-2.5799999,2.0000000,,,,,-2.5799999,2.79999995,
,,,-2.5699999,2.0000000,,,,,-2.5699999,2.79999995,
,,,-2.5599999,2.0000000,,,,,-2.5599999,2.87999988,
,,,-2.5500000,2.0000000,,,,,-2.5500000,2.87999988,
,,,-2.5400000,2.0000000,,,,,-2.5400000,2.87999988,
,,,-2.5300000,1.9200000,,,,,-2.5300000,2.79999995,
,,,-2.5199997,1.9200000,,,,,-2.5199997,2.79999995,
,,,-2.5099998,1.9200000,,,,,-2.5099998,2.72000003,
,,,-2.4999998,1.8399999,,,,,-2.4999998,2.72000003,
,,,-2.4899998,1.8399999,,,,,-2.4899998,2.72000003,
,,,-2.4799998,1.9200000,,,,,-2.4799998,2.72000003,
,,,-2.4699998,1.8399999,,,,,-2.4699998,2.72000003,
,,,-2.4599998,1.8399999,,,,,-2.4599998,2.79999995,
,,,-2.4499998,1.7600000,,,,,-2.4499998,2.72000003,
,,,-2.4399998,1.7600000,,,,,-2.4399998,2.72000003,
,,,-2.4299998,1.8399999,,,,,-2.4299998,2.79999995,
,,,-2.4199998,1.8399999,,,,,-2.4199998,2.87999988,
,,,-2.4099998,1.7600000,,,,,-2.4099998,2.79999995,
,,,-2.3999999,1.8399999,,,,,-2.3999999,2.79999995,
,,,-2.3899999,1.8399999,,,,,-2.3899999,2.79999995,
,,,-2.3799999,1.8399999,,,,,-2.3799999,2.79999995,
,,,-2.3699999,1.9200000,,,,,-2.3699999,2.79999995,
,,,-2.3599999,1.9200000,,,,,-2.3599999,2.79999995,
,,,-2.3499999,1.9200000,,,,,-2.3499999,2.72000003,
,,,-2.3399999,1.9200000,,,,,-2.3399999,2.72000003,
,,,-2.3299999,1.9200000,,,,,-2.3299999,2.72000003,
,,,-2.3199999,1.9200000,,,,,-2.3199999,2.72000003,
,,,-2.3099999,2.0000000,,,,,-2.3099999,2.72000003,
,,,-2.3000000,1.9200000,,,,,-2.3000000,2.72000003,
,,,-2.2900000,1.9200000,,,,,-2.2900000,2.72000003,
,,,-2.2800000,1.9200000,,,,,-2.2800000,2.72000003,
,,,-2.2700000,1.9200000,,,,,-2.2700000,2.72000003,
,,,-2.2599998,1.9200000,,,,,-2.2599998,2.72000003,
,,,-2.2499998,2.0000000,,,,,-2.2499998,2.72000003,
,,,-2.2399998,1.9200000,,,,,-2.2399998,2.6399999,
,,,-2.2299998,1.9200000,,,,,-2.2299998,2.72000003,
,,,-2.2199998,1.8399999,,,,,-2.2199998,2.72000003,
,,,-2.2099998,1.8399999,,,,,-2.2099998,2.6399999,
,,,-2.1999998,1.9200000,,,,,-2.1999998,2.72000003,
,,,-2.1899998,1.9200000,,,,,-2.1899998,2.72000003,
,,,-2.1799998,1.9200000,,,,,-2.1799998,2.72000003,
,,,-2.1699998,1.9200000,,,,,-2.1699998,2.72000003,
,,,-2.1599998,1.9200000,,,,,-2.1599998,2.72000003,
,,,-2.1499999,1.9200000,,,,,-2.1499999,2.72000003,
,,,-2.1399999,1.9200000,,,,,-2.1399999,2.6399999,
,,,-2.1299999,1.9200000,,,,,-2.1299999,2.6399999,
,,,-2.1199999,1.9200000,,,,,-2.1199999,2.6399999,
,,,-2.1099999,1.9200000,,,,,-2.1099999,2.72000003,
,,,-2.0999999,1.9200000,,,,,-2.0999999,2.6399999,
,,,-2.0899999,1.9200000,,,,,-2.0899999,2.72000003,
,,,-2.0799999,2.0000000,,,,,-2.0799999,2.72000003,
,,,-2.0699999,2.0000000,,,,,-2.0699999,2.72000003,
,,,-2.0599999,1.9200000,,,,,-2.0599999,2.79999995,
,,,-2.0500000,1.9200000,,,,,-2.0500000,2.79999995,
,,,-2.0400000,1.9200000,,,,,-2.0400000,2.72000003,
,,,-2.0300000,1.9200000,,,,,-2.0300000,2.72000003,
,,,-2.0200000,1.9200000,,,,,-2.0200000,2.72000003,
,,,-2.0099998,1.9200000,,,,,-2.0099998,2.72000003,
,,,-1.9999999,2.0000000,,,,,-1.9999999,2.72000003,
,,,-1.9899999,1.9200000,,,,,-1.9899999,2.6399999,
,,,-1.9799999,1.9200000,,,,,-1.9799999,2.6399999,
,,,-1.9699999,1.9200000,,,,,-1.9699999,2.6399999,
,,,-1.9599999,1.9200000,,,,,-1.9599999,2.5599999,
,,,-1.9499999,2.0000000,,,,,-1.9499999,2.6399999,
,,,-1.9399998,2.0000000,,,,,-1.9399998,2.6399999,
,,,-1.9299998,2.0000000,,,,,-1.9299998,2.72000003,
,,,-1.9199998,2.0000000,,,,,-1.9199998,2.6399999,
,,,-1.9099998,2.0000000,,,,,-1.9099998,2.6399999,
,,,-1.8999999,2.0000000,,,,,-1.8999999,2.6399999,
,,,-1.8899999,2.0000000,,,,,-1.8899999,2.72000003,
,,,-1.8799999,2.0000000,,,,,-1.8799999,2.72000003,
,,,-1.8699999,2.0000000,,,,,-1.8699999,2.72000003,
,,,-1.8599999,2.0000000,,,,,-1.8599999,2.72000003,
,,,-1.8499999,2.0000000,,,,,-1.8499999,2.72000003,
,,,-1.8399999,2.0799999,,,,,-1.8399999,2.72000003,
,,,-1.8299999,2.0799999,,,,,-1.8299999,2.72000003,
,,,-1.8199999,2.0799999,,,,,-1.8199999,2.72000003,
,,,-1.8099998,2.0799999,,,,,-1.8099998,2.72000003,
,,,-1.7999998,2.0799999,,,,,-1.7999998,2.72000003,
,,,-1.7899998,2.0799999,,,,,-1.7899998,2.72000003,
,,,-1.7799999,2.0799999,,,,,-1.7799999,2.72000003,
,,,-1.7699999,2.0000000,,,,,-1.7699999,2.6399999,
,,,-1.7599999,2.0000000,,,,,-1.7599999,2.6399999,
,,,-1.7499999,2.0000000,,,,,-1.7499999,2.72000003,
,,,-1.7399999,2.0000000,,,,,-1.7399999,2.6399999,
,,,-1.7299999,2.0000000,,,,,-1.7299999,2.6399999,
,,,-1.7199999,2.0000000,,,,,-1.7199999,2.72000003,
,,,-1.7099999,2.0000000,,,,,-1.7099999,2.6399999,
,,,-1.6999999,2.0000000,,,,,-1.6999999,2.6399999,
,,,-1.6899998,2.0000000,,,,,-1.6899998,2.6399999,
,,,-1.6799998,2.0000000,,,,,-1.6799998,2.6399999,
,,,-1.6699998,2.0000000,,,,,-1.6699998,2.72000003,
,,,-1.6599998,2.0000000,,,,,-1.6599998,2.72000003,
,,,-1.6499999,2.0000000,,,,,-1.6499999,2.6399999,
,,,-1.6399999,2.0799999,,,,,-1.6399999,2.72000003,
,,,-1.6299999,2.0000000,,,,,-1.6299999,2.72000003,
,,,-1.6199999,2.0000000,,,,,-1.6199999,2.72000003,
,,,-1.6099999,2.0799999,,,,,-1.6099999,2.72000003,
,,,-1.5999999,2.0000000,,,,,-1.5999999,2.72000003,
,,,-1.5899999,2.0000000,,,,,-1.5899999,2.72000003,
,,,-1.5799999,2.0000000,,,,,-1.5799999,2.72000003,
,,,-1.5699999,2.0000000,,,,,-1.5699999,2.72000003,
,,,-1.5599998,2.0000000,,,,,-1.5599998,2.72000003,
,,,-1.5499998,2.0799999,,,,,-1.5499998,2.6399999,
,,,-1.5399998,2.0799999,,,,,-1.5399998,2.72000003,
,,,-1.5299999,2.0799999,,,,,-1.5299999,2.72000003,
,,,-1.5199999,2.0000000,,,,,-1.5199999,2.72000003,
,,,-1.5099999,2.0000000,,,,,-1.5099999,2.72000003,
,,,-1.4999999,2.0000000,,,,,-1.4999999,2.72000003,
,,,-1.4899999,2.0799999,,,,,-1.4899999,2.72000003,
,,,-1.4799999,2.0799999,,,,,-1.4799999,2.6399999,
,,,-1.4699999,2.0000000,,,,,-1.4699999,2.6399999,
,,,-1.4599999,2.0799999,,,,,-1.4599999,2.6399999,
,,,-1.4499999,2.0799999,,,,,-1.4499999,2.5599999,
,,,-1.4399999,2.0799999,,,,,-1.4399999,2.6399999,
,,,-1.4299998,2.0799999,,,,,-1.4299998,2.6399999,
,,,-1.4199998,2.0000000,,,,,-1.4199998,2.6399999,
,,,-1.4099998,2.0799999,,,,,-1.4099998,2.6399999,
,,,-1.3999999,2.0799999,,,,,-1.3999999,2.6399999,
,,,-1.3899999,2.0000000,,,,,-1.3899999,2.6399999,
,,,-1.3799999,2.0799999,,,,,-1.3799999,2.72000003,
,,,-1.3699999,2.0000000,,,,,-1.3699999,2.6399999,
,,,-1.3599999,2.0000000,,,,,-1.3599999,2.6399999,
,,,-1.3499999,2.0000000,,,,,-1.3499999,2.72000003,
,,,-1.3399999,2.0000000,,,,,-1.3399999,2.6399999,
,,,-1.3299999,2.0000000,,,,,-1.3299999,2.6399999,
,,,-1.3199999,2.0000000,,,,,-1.3199999,2.72000003,
,,,-1.3099999,2.0000000,,,,,-1.3099999,2.6399999,
,,,-1.2999998,2.0000000,,,,,-1.2999998,2.72000003,
,,,-1.2899998,2.0000000,,,,,-1.2899998,2.72000003,
,,,-1.2799999,2.0000000,,,,,-1.2799999,2.72000003,
,,,-1.2699999,2.0000000,,,,,-1.2699999,2.72000003,
,,,-1.2599999,2.0000000,,,,,-1.2599999,2.72000003,
,,,-1.2499999,2.0000000,,,,,-1.2499999,2.72000003,
,,,-1.2399999,2.0799999,,,,,-1.2399999,2.72000003,
,,,-1.2299999,2.0799999,,,,,-1.2299999,2.72000003,
,,,-1.2199999,2.0000000,,,,,-1.2199999,2.72000003,
,,,-1.2099999,2.0799999,,,,,-1.2099999,2.72000003,
,,,-1.1999999,2.0000000,,,,,-1.1999999,2.72000003,
,,,-1.1899999,2.0000000,,,,,-1.1899999,2.72000003,
,,,-1.1799998,2.0000000,,,,,-1.1799998,2.72000003,
,,,-1.1699998,2.0799999,,,,,-1.1699998,2.6399999,
,,,-1.1599998,2.0799999,,,,,-1.1599998,2.72000003,
,,,-1.1499999,2.0000000,,,,,-1.1499999,2.6399999,
,,,-1.1399999,2.0000000,,,,,-1.1399999,2.6399999,
,,,-1.1299999,2.0000000,,,,,-1.1299999,2.72000003,
,,,-1.1199999,2.0000000,,,,,-1.1199999,2.72000003,
,,,-1.1099999,2.0000000,,,,,-1.1099999,2.72000003,
,,,-1.0999999,2.0799999,,,,,-1.0999999,2.6399999,
,,,-1.0899999,2.0000000,,,,,-1.0899999,2.6399999,
,,,-1.0799999,2.0000000,,,,,-1.0799999,2.72000003,
,,,-1.0699999,2.0000000,,,,,-1.0699999,2.72000003,
,,,-1.0599999,2.0000000,,,,,-1.0599999,2.72000003,
,,,-1.0499998,2.0000000,,,,,-1.0499998,2.6399999,
,,,-1.0399998,2.0000000,,,,,-1.0399998,2.6399999,
,,,-1.0299999,2.0000000,,,,,-1.0299999,2.6399999,
,,,-1.0199999,2.0000000,,,,,-1.0199999,2.72000003,
,,,-1.0099999,2.0000000,,,,,-1.0099999,2.6399999,
,,,-0.0,2.0000000,,,,,-0.0,2.6399999,
,,,-989.999890327E-3,2.0000000,,,,,-989.999890327E-3,2.72000003,
,,,-979.999899864E-3,2.0799999,,,,,-979.999899864E-3,2.72000003,
,,,-969.999909401E-3,2.0799999,,,,,-969.999909401E-3,2.6399999,
,,,-959.999918938E-3,2.0799999,,,,,-959.999918938E-3,2.6399999,
,,,-949.999868870E-3,2.0799999,,,,,-949.999868870E-3,2.6399999,
,,,-939.999878407E-3,2.0000000,,,,,-939.999878407E-3,2.6399999,
,,,-929.999887943E-3,2.0799999,,,,,-929.999887943E-3,2.6399999,
,,,-919.999897480E-3,2.0799999,,,,,-919.999897480E-3,2.6399999,
,,,-909.999907017E-3,2.0000000,,,,,-909.999907017E-3,2.6399999,
,,,-899.999916553E-3,2.0799999,,,,,-899.999916553E-3,2.72000003,
,,,-889.999866486E-3,2.0799999,,,,,-889.999866486E-3,2.6399999,
,,,-879.999876022E-3,2.0000000,,,,,-879.999876022E-3,2.6399999,
,,,-869.999885559E-3,2.0000000,,,,,-869.999885559E-3,2.6399999,
